Ethnicity	Gender	Cohort	Transfer	Cohort_Math	Math	Cohort_English	English	Ed_Goal	College_Status	Student_ID	EthnicityFlag_Asian	EthnicityFlag_Black	EthnicityFlag_Hispanic	EthnicityFlag_NativeAmerican	EthnicityFlag_PacificIslander	EthnicityFlag_White	EthnicityFlag_Carribean	EthnicityFlag_EastAsian	EthnicityFlag_SouthEastAsian	EthnicityFlag_SouthWestAsianNorthAfrican	EthnicityFlag_AANAPI	EthnicityFlag_Unknown	EthnicityFlag_TwoorMoreRaces
Native American	Male	2017	0	2019	1	2017	1	Deg/Transfer	First-time College	100045	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100046	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2019	1	Deg/Transfer	First-time College	100047	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	NA	NA	2018	0	Deg/Transfer	Other	100048	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100049	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100050	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2018	1	2017	1	Deg/Transfer	First-time College	100051	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2018	1	2018	1	Other	First-time College	100052	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100053	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100054	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2018	0	Other	First-time College	100055	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2018	0	Deg/Transfer	First-time College	100056	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	0	2018	0	Deg/Transfer	First-time College	100057	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100058	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2018	1	Other	First-time College	100059	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	NA	NA	Deg/Transfer	First-time College	100060	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2018	1	2017	1	Deg/Transfer	Other	100061	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100062	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2018	0	Other	First-time College	100063	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Other	2017	0	2017	1	NA	NA	Deg/Transfer	First-time College	100064	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Other	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100065	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2018	0	Deg/Transfer	First-time College	100066	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2019	1	NA	NA	Deg/Transfer	First-time College	100067	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2017	1	Other	First-time College	100068	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2019	0	2017	0	Other	First-time College	100069	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2018	1	2017	1	Other	First-time College	100070	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2019	0	2017	0	Deg/Transfer	First-time College	100071	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100072	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2018	0	Deg/Transfer	First-time College	100073	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Other	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100074	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100075	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100076	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2018	1	2018	1	Deg/Transfer	Other	100077	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2017	0	Other	First-time College	100078	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2019	1	Deg/Transfer	First-time College	100079	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2018	1	Deg/Transfer	First-time College	100080	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100081	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100082	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	0	NA	NA	Other	First-time College	100083	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2019	1	2017	0	Deg/Transfer	First-time College	100084	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2018	1	Other	Other	100085	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	1	2019	1	Deg/Transfer	First-time College	100086	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2019	1	2018	1	Deg/Transfer	First-time College	100087	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	NA	NA	Other	First-time College	100088	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2018	1	2017	0	Deg/Transfer	First-time College	100089	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2017	0	Deg/Transfer	First-time College	100090	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2017	0	Deg/Transfer	First-time College	100091	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100092	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100093	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2018	1	2017	1	Deg/Transfer	First-time College	100094	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2018	1	Other	First-time College	100095	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100096	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100097	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	0	2019	1	2018	0	Deg/Transfer	First-time College	100098	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Female	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100099	0	0	0	1	0	0	0	0	0	0	1	0	0
Native American	Male	2017	1	2017	1	2017	1	Deg/Transfer	Other	100100	0	0	0	1	0	0	0	0	0	0	1	0	0
Multi-Ethnicity	Female	2017	0	NA	NA	2018	1	Other	First-time College	100101	1	0	0	0	0	1	0	1	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2018	1	Deg/Transfer	First-time College	100102	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100103	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	NA	NA	Deg/Transfer	First-time College	100104	0	0	0	1	0	1	0	0	0	1	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2017	1	Deg/Transfer	First-time College	100105	1	0	0	0	0	0	0	1	0	1	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Deg/Transfer	Other	100106	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Female	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100107	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2019	0	2017	1	Deg/Transfer	First-time College	100108	1	0	0	0	1	1	0	1	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	2019	1	2017	1	Other	First-time College	100109	0	1	0	0	0	0	0	0	0	1	0	0	1
Multi-Ethnicity	Female	2017	0	2017	0	2017	0	Deg/Transfer	Other	100110	1	0	0	0	1	0	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	2018	0	Deg/Transfer	First-time College	100111	1	0	0	0	0	1	0	1	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2018	1	2017	1	Deg/Transfer	Other	100112	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2019	1	2019	1	Deg/Transfer	First-time College	100113	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100114	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Other	2017	1	2018	1	2018	1	Deg/Transfer	Other	100115	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Other	First-time College	100116	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	NA	NA	Deg/Transfer	First-time College	100117	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Other	First-time College	100118	1	0	0	1	1	1	0	1	0	1	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100119	0	1	0	1	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Other	First-time College	100120	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Female	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100121	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2017	1	Other	First-time College	100122	1	1	0	1	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100123	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2018	1	Deg/Transfer	First-time College	100124	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100125	0	1	0	0	1	1	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100126	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100127	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100128	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Male	2017	1	2017	0	2017	1	Other	First-time College	100129	1	0	0	0	1	0	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2018	1	2019	0	Other	First-time College	100130	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2019	0	2018	0	Deg/Transfer	Other	100131	1	0	0	0	1	0	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100132	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100133	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2018	0	Deg/Transfer	First-time College	100134	0	0	0	0	1	1	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100135	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Male	2017	0	2018	1	2018	1	Deg/Transfer	First-time College	100136	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100137	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2018	0	Deg/Transfer	First-time College	100138	0	0	0	1	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Other	First-time College	100139	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100140	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	0	2019	0	Deg/Transfer	First-time College	100141	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2018	1	2017	1	Other	First-time College	100142	0	0	0	1	0	1	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100143	1	0	0	0	0	1	0	1	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2018	1	Deg/Transfer	Other	100144	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	0	2017	0	Deg/Transfer	First-time College	100145	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Deg/Transfer	Other	100146	0	0	0	1	0	1	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2018	1	Deg/Transfer	Other	100147	1	0	0	1	0	0	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100148	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2019	1	2017	1	Deg/Transfer	Other	100149	1	0	0	0	0	0	0	0	1	1	1	0	1
Multi-Ethnicity	Female	2017	0	2017	0	NA	NA	Deg/Transfer	First-time College	100150	0	1	0	0	0	0	0	0	0	1	0	0	1
Multi-Ethnicity	Male	2017	0	2017	0	2018	0	Other	First-time College	100151	1	0	0	0	1	0	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Other	First-time College	100152	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2017	1	Deg/Transfer	First-time College	100153	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2017	1	Other	First-time College	100154	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	1	Deg/Transfer	First-time College	100155	1	0	0	0	0	1	0	1	1	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100156	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	NA	NA	2018	0	Deg/Transfer	First-time College	100157	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	0	2018	1	Deg/Transfer	First-time College	100158	1	0	0	0	1	0	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2017	1	Other	First-time College	100159	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100160	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2017	1	Deg/Transfer	First-time College	100161	1	0	0	1	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	2019	0	NA	NA	Deg/Transfer	First-time College	100162	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Other	First-time College	100163	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	2017	1	2018	1	Deg/Transfer	First-time College	100164	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	0	2017	0	Other	First-time College	100165	0	0	0	1	0	1	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2018	1	Other	First-time College	100166	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2018	1	Other	First-time College	100167	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2019	1	2017	1	Deg/Transfer	First-time College	100168	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2018	1	Other	First-time College	100169	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2018	1	Deg/Transfer	Other	100170	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	2018	0	Deg/Transfer	First-time College	100171	0	1	0	0	0	1	0	0	0	1	0	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Deg/Transfer	First-time College	100172	0	1	0	0	0	0	0	0	0	1	0	0	1
Multi-Ethnicity	Female	2017	0	2018	0	2017	0	Deg/Transfer	First-time College	100173	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2019	1	2017	1	Other	First-time College	100174	0	0	0	1	0	1	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2017	1	Deg/Transfer	First-time College	100175	0	0	0	0	0	0	0	0	0	0	0	0	1
Multi-Ethnicity	Other	2017	0	NA	NA	2017	1	Deg/Transfer	First-time College	100176	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2018	0	Deg/Transfer	First-time College	100177	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2019	1	2017	1	Deg/Transfer	First-time College	100178	1	0	0	0	0	0	0	1	0	1	1	0	1
Multi-Ethnicity	Male	2017	0	2017	1	2017	0	Other	First-time College	100179	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	0	2017	1	Deg/Transfer	First-time College	100180	1	0	0	0	0	0	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2018	1	Deg/Transfer	First-time College	100181	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2018	1	Deg/Transfer	First-time College	100182	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2017	0	2018	1	Deg/Transfer	First-time College	100183	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	2017	0	Deg/Transfer	Other	100184	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2017	1	2019	0	Deg/Transfer	First-time College	100185	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100186	0	1	0	0	0	1	0	0	0	0	0	0	1
Multi-Ethnicity	Female	2017	0	2017	1	2017	0	Other	First-time College	100187	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2017	0	2017	0	Other	First-time College	100188	1	1	0	1	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2017	0	2017	1	Deg/Transfer	Other	100189	1	0	0	0	0	0	0	1	0	1	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2017	0	Other	First-time College	100190	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	NA	NA	Deg/Transfer	First-time College	100191	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2017	1	Other	First-time College	100192	1	0	0	0	0	1	0	1	0	1	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2017	1	Deg/Transfer	First-time College	100193	0	0	0	0	0	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	0	2018	1	2017	1	Other	First-time College	100194	0	0	0	0	1	0	0	0	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2018	1	Deg/Transfer	First-time College	100195	0	1	0	0	0	1	1	0	0	0	0	0	1
Multi-Ethnicity	Male	2017	0	2018	1	2018	1	Deg/Transfer	First-time College	100196	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	1	2018	1	2018	1	Other	First-time College	100197	1	0	0	0	0	1	0	0	1	0	1	0	1
Multi-Ethnicity	Female	2017	0	NA	NA	2017	0	Deg/Transfer	First-time College	100198	1	1	0	0	0	0	0	0	1	0	1	0	1
Multi-Ethnicity	Male	2017	1	2017	1	2017	1	Deg/Transfer	First-time College	100199	1	0	0	0	0	1	0	1	0	0	1	0	1
Multi-Ethnicity	Male	2017	0	2018	0	2017	0	Other	Other	100200	1	0	0	0	1	0	0	1	0	0	1	0	1
Multi-Ethnicity	Female	2017	1	2018	1	2017	1	Other	First-time College	100201	1	0	0	1	0	1	0	1	0	0	1	0	1
